replicate	reference_component	replicate_component	matched	signed_similarity	absolute_similarity	orientation	assignment_margin	index_recurrent	proposal_rank	rank_one	nominated_reference
63	3	3	TRUE	0.997454405863204	0.997454405863204	1	0.930072392640639	TRUE	2	FALSE	FALSE
64	1	1	TRUE	0.981360693456628	0.981360693456628	1	0.798250680341352	TRUE	1	TRUE	TRUE
64	2	2	TRUE	0.981093443651351	0.981093443651351	1	0.795493460540107	TRUE	3	FALSE	FALSE
64	3	3	TRUE	-0.895259793435364	0.895259793435364	-1	0.84667485869104	TRUE	2	FALSE	FALSE
65	1	1	TRUE	0.955079423361129	0.955079423361129	1	0.663209165909544	TRUE	1	TRUE	TRUE
65	2	2	TRUE	-0.952240321759777	0.952240321759777	-1	0.661843469353082	TRUE	2	FALSE	FALSE
65	3	3	TRUE	0.993730101440967	0.993730101440967	1	0.91126385391581	TRUE	3	FALSE	FALSE
66	1	1	TRUE	0.995670478132571	0.995670478132571	1	0.904065357950803	TRUE	1	TRUE	TRUE
66	2	2	TRUE	0.997520185281781	0.997520185281781	1	0.952674345136802	TRUE	2	FALSE	FALSE
66	3	3	TRUE	0.993731460852711	0.993731460852711	1	0.902059370857846	TRUE	3	FALSE	FALSE
67	1	1	TRUE	0.991225432680871	0.991225432680871	1	0.869366909669609	TRUE	1	TRUE	TRUE
67	2	2	TRUE	0.988032306389162	0.988032306389162	1	0.86280280108006	TRUE	2	FALSE	FALSE
67	3	3	TRUE	-0.885640293534606	0.885640293534606	-1	0.798030893826474	TRUE	3	FALSE	FALSE
68	1	1	TRUE	0.999139091505822	0.999139091505822	1	0.968850378749397	TRUE	1	TRUE	TRUE
68	2	2	TRUE	0.999730648219198	0.999730648219198	1	0.976593693332521	TRUE	2	FALSE	FALSE
68	3	3	TRUE	-0.96403275893374	0.96403275893374	-1	0.927362882201898	TRUE	3	FALSE	FALSE
69	1	1	TRUE	0.994713347971587	0.994713347971587	1	0.893237216193075	TRUE	1	TRUE	TRUE
69	2	2	TRUE	0.990331741288491	0.990331741288491	1	0.890765315852319	TRUE	2	FALSE	FALSE
69	3	3	TRUE	0.984233170287331	0.984233170287331	1	0.897172553405437	TRUE	3	FALSE	FALSE
